https://www.greek-language.gr/greekLang/modern_greek/tools/lexica/search.html?lq=%CF%84%CE%B1%CF%80%CE%B5%CE%B9%CE%BD%CE%BF%CF%86%CF%81%CE%BF%CF%83%CF%8D%CE%BD%CE%B7&dq=
https://el.wiktionary.org/wiki/

συγχύζω      =muddle; εκνευρίζω και στενοχωρώ
Εκαβη        =Hecuba wife of Priam king of troy
ασυλληπτο    =inconceivable WRONG - δεν έχουν/μπορούν συλλάβει
μοιραιο      =fatal; αναπόφευκτος
σουσούδα     =σουσουράδα? - πτηνο/νεαρή κοπέλα που κάνει όλο καμώματα και νάζια
περιφρόνηση  =contempt; αδιαφορία σε κάποιον/κάτι που δεν αξίζει το ενδιαφέρον/σεβασμό
τζουτζε      =γελωτοποιός; τουρκική cüce ("νάνος")
ταπεινοφροσυνη = humble; ANT αλαζονεία
πφ
καχύποπτος    =suspicious; υποπτεύεται πάντες/πάντα
γουστο        =taste  <βεν. gusto.
ξεκάνω        =dispose of; σκοτώνω
κακεντρεχής   =malicer; επιδιώκει το κακό άλλων + χαίρεται για δυσάρεστα άλλων
αποποιούμαι   =disclaim (refuse to acknowledge); δεν αποδέχομαι, δε δέχομαι, αρνούμαι
αναίδεια      =impudence (no respect for another person); έλλειψη ντροπής
πρόληψη       =prevention; εμποδίσh αρνητικών/βλαπτικών
όσιος         =faithful; σεβαστός, ευσεβής
μοσχολίβανον  =Frankincense/myrrh Boswellia/Commiphora trees in Oman/Africa; gold, frankincense, and myrrh
οιωνός        =omen
περιβόητος    =notorious
υποθήκη       =mortgage
έσχατος       =final; Τελευταίος, νεότερος, χειρότερος (για δήλωση ταπεινότητας)
στο πι και φι = πολύ γρήγορα,παλούκι/φουρκα  (αναλοσκοπισμός/αγχόνη) [Impalement/ noose]
και ούτω καθεξής   =and so on
έμεινε στο ράφι   =spinster; αντικείμενα να τοποθετούνται σε ράφια για στολισμό
απτό          =tangible; αρχαία ελληνική φανερός
υπονοούμενο   =implication;  λέγεται με τρόπο έμμεσο και καλυμμένο (οτι θίγει δυσάρεστο/λεπτό)
χειραφέτηση   =emancipation;  απαλλαγή από τη γονική κηδεμονία
ιδιοτελής     =selfish; exaggerated sense of importance; ατομικό μόνο συμφέρον
εγωκεντρικός  =self centered; concern only for self
αποκύηση      =pregnancy
αναγούλα      =τάση για εμετό, ναυτία :nausea
